state,area,year,quarter,medianAcreage,nominalPrice,nominalPercent,nominalGrowth,realPrice,realPercent,annualVolume,qtrVolume
Texas,Panhandle - North (LMA 1),1971,0,320,193,-19.08,-0.71,155,-22.98,59,null
Texas,Panhandle - North (LMA 1),1972,0,320,210,8.81,0.14,162,4.31,72,null
Texas,Panhandle - North (LMA 1),1973,0,560,210,0,0.98,153,-5.2,69,null
Texas,Panhandle - North (LMA 1),1974,0,480,299,42.38,8.37,200,30.59,95,null
Texas,Panhandle - North (LMA 1),1975,0,325,435,45.48,12.77,267,33.21,52,null
Texas,Panhandle - North (LMA 1),1976,0,320,450,3.45,18.45,261,-1.96,53,null
Texas,Panhandle - North (LMA 1),1977,0,320,400,-11,13.78,219,-16.2,46,null
Texas,Panhandle - North (LMA 1),1978,0,321,352,-12.11,10.88,180,-17.87,49,null
Texas,Panhandle - North (LMA 1),1979,0,626,450,27.84,8.52,212,18.01,69,null
Texas,Panhandle - North (LMA 1),1980,0,640,512,13.89,3.33,222,4.44,38,null
Texas,Panhandle - North (LMA 1),1981,0,335,625,21.95,6.79,247,11.41,41,null
Texas,Panhandle - North (LMA 1),1982,0,320,525,-16,5.56,195,-20.89,35,null
Texas,Panhandle - North (LMA 1),1983,0,320,332,-36.86,-1.19,119,-39.22,44,null
Texas,Panhandle - North (LMA 1),1984,0,370,394,19,-2.6,136,14.85,60,null
Texas,Panhandle - North (LMA 1),1985,0,396,462,17.24,-2.03,155,13.64,42,null
Texas,Panhandle - North (LMA 1),1986,0,325,300,-35.14,-13.65,99,-36.42,59,null
Texas,Panhandle - North (LMA 1),1987,0,332,275,-8.33,-12.13,88,-10.54,57,null
Texas,Panhandle - North (LMA 1),1988,0,640,350,27.27,1.09,108,22.94,71,null
Texas,Panhandle - North (LMA 1),1989,0,481,300,-14.29,-5.33,89,-17.52,70,null
Texas,Panhandle - North (LMA 1),1990,0,436,372,23.99,-4.26,107,19.51,63,null
Texas,Panhandle - North (LMA 1),1991,0,640,310,-16.66,0.66,86,-19.38,67,null
Texas,Panhandle - North (LMA 1),1992,0,480,380,22.45,6.66,103,19.73,72,null
Texas,Panhandle - North (LMA 1),1993,0,640,350,-7.8,0,93,-9.93,55,null
Texas,Panhandle - North (LMA 1),1994,0,480,396,13,5.68,103,10.64,64,null
Texas,Panhandle - North (LMA 1),1995,0,480,363,-8.22,-0.49,92,-10.1,59,null
Texas,Panhandle - North (LMA 1),1996,0,554,432,18.87,6.84,108,16.73,56,null
